"Deployment","Organization","TemplateFolder","TemplateId","CreatedAt","UpdatedAt","TemplateName","TemplateDisplayName","CreatorName","ActiveUserCount","OrganizationName","OrganizationDisplayName","Contributors"
"ai.coder.com","experiment","claude-demo","dc04c53e-944f-4928-a857-2f0838213e83","12/06/2025 06:07:29","01/07/2025 19:59:20","claude-demo","Experiment - Demo 'Claude Web'","ju-pe","0","experiment","Coder Experiments","ju-pe (16)"
"ai.coder.com","experiment","tasks-k8s","e7351a11-35b0-488b-9854-764ea21e9d93","07/07/2025 23:25:20","08/07/2025 01:49:24","tasks-k8s","Experiment - Tasks on K8s","ju-pe","0","experiment","Coder Experiments","ju-pe (16)"
"ai.coder.com","experiment","kiro","51ea9cf8-b3d7-4552-b085-0cf3451628c8","16/07/2025 21:25:31","16/07/2025 21:36:24","kiro","Experiment - Kiro on Coder","ju-pe","0","experiment","Coder Experiments","ju-pe (1)"
"ai.coder.com","experiment","claude-task","d734f091-576f-41af-8655-52b879874997","11/06/2025 05:50:59","08/07/2025 01:49:29","claude-task","Experiment - Claude Task Runner","jullian","0","experiment","Coder Experiments","ju-pe (20), jullian (3)"
"ai.coder.com","experiment","claude-task-ragwkshop","2f2d1434-dd1f-4fae-be3b-1b16256f154e","15/07/2025 21:08:38","15/07/2025 21:08:38","claude-task-ragwkshop","Experiment - Claude Task for RAG Workshop","greg","0","experiment","Coder Experiments","greg (1)"
"ai.coder.com","experiment","kasmvnc","0e04be36-e80c-4536-b677-02dcd56967af","17/07/2025 23:28:16","21/07/2025 07:03:56","kasmvnc","","ju-pe","0","experiment","Coder Experiments","ju-pe (6)"
"ai.coder.com","experiment","dogfood-ec2","6593e651-1a5d-4fbc-ae4e-4c37c4ef1fb4","06/06/2025 20:34:01","12/06/2025 23:37:52","dogfood-ec2","Dogfood on EC2","jullian","0","experiment","Coder Experiments","jullian (21)"
"ai.coder.com","experiment","goose-task","2e81b2c0-f0e6-40ac-8c7c-9a9a9797d786","12/06/2025 23:33:53","09/07/2025 14:38:45","goose-task","Experiment - Goose Task Runner","ju-pe","0","experiment","Coder Experiments","ju-pe (26)"
"ai.coder.com","coder","claude-task-eric-copy","d2954bc5-2057-4409-b7bc-acc23b19d553","06/08/2025 11:07:19","06/08/2025 12:07:32","claude-task-eric-copy","Eric Claude Test","ericpaulsen","1","coder","Coder","ericpaulsen (13)"
"ai.coder.com","coder","tasks-k8s","bf1f9598-fc83-4b1f-bb7e-9920ee8ce06d","08/07/2025 01:30:58","21/07/2025 16:32:19","tasks-k8s","Real World App w/ Claude","ju-pe","1","coder","Coder","ju-pe (6), bpmct (2)"
"ai.coder.com","coder","claude-task","c5c4f14f-ff1d-44ed-9fda-552c7369e414","11/06/2025 06:26:58","11/07/2025 12:03:05","claude-task","Build from Scratch w/ Claude","jullian","4","coder","Coder","ju-pe (74), jullian (6), michaelpatterson (1)"
"ai.coder.com","coder","goose-task","f5f56758-5828-4eb3-8048-b1ee18f5ace0","12/06/2025 23:30:06","11/07/2025 12:08:18","goose-task","Build from Scratch w/ Goose","ju-pe","0","coder","Coder","ju-pe (50)"
